#{"t_start": 1709081660.9142046, "env_id": "None"}
r,l,t
-4920632.745736,4372,70.6154
-4844264.887752,4372,146.492093
-4684835.728291,4372,202.057718
-4272398.138546,4372,266.699195
-3818560.204375,4372,331.836905
-3637889.052697,4372,397.116447
-3510449.826796,4372,462.050671
-3499448.324195,4372,515.34931
-3481296.563179,4372,588.417266
-3484198.727273,4372,652.311726
-3488781.888876,4372,715.598149
-3444492.55925,4372,770.634573
-3410609.702083,4372,835.55425
-3405874.58091,4372,901.302151
-3399865.636075,4372,962.974559
-3369853.602592,4372,1027.361225
-3346659.229573,4372,1093.752112
-3345483.244226,4372,1160.360696
-3317747.417129,4372,1225.283833
-3312009.930021,4372,1289.927877
-3314236.45798,4372,1354.372132
-3290724.478339,4372,1418.895787
-3265246.722785,4372,1490.013716
-3259787.87136,4372,1555.705142
-3252680.824411,4372,1619.791773
-3254413.379597,4372,1685.711792
-3230863.203235,4372,1751.471457
-3236953.238399,4372,1821.960491
-3225169.338207,4372,1891.458898
-3204526.67409,4372,1956.662363
-3215651.431755,4372,2022.0872
-3202765.427689,4372,2087.448861
-3194858.574126,4372,2147.836717
-3207668.708201,4372,2211.442891
-3169277.133862,4372,2277.45741
-3182458.362381,4372,2343.948656
-3184078.282642,4372,2407.599048
-3183350.268343,4372,2477.663777
-3170000.059961,4372,2544.893987
-3177889.855813,4372,2610.429772
-3172516.19646,4372,2671.582731
-3179993.185639,4372,2736.793143
-3169914.613398,4372,2801.699167
-3161612.413651,4372,2864.689702
-3167812.766178,4372,2944.638627
